day,language,part,time_seconds,timestamp
01,python,2,0.002572,2026-01-05T17:26:24.079307
02,python,1,0.576736,2026-01-05T17:26:24.728499
02,python,2,1.177810,2026-01-05T17:26:25.906837
03,python,1,0.003988,2026-01-05T17:26:25.981619
03,python,2,0.007863,2026-01-05T17:26:25.989916
04,python,1,0.059178,2026-01-05T17:26:26.129084
04,python,2,0.509506,2026-01-05T17:26:26.639037
05,python,1,0.004781,2026-01-05T17:26:26.712919
05,python,2,0.000439,2026-01-05T17:26:26.713709
06,python,1,0.000882,2026-01-05T17:26:26.784487
06,python,2,0.004135,2026-01-05T17:26:26.788988
07,python,1,0.001110,2026-01-05T17:26:26.859911
07,python,2,0.001438,2026-01-05T17:26:26.861702
08,python,1,0.077152,2026-01-05T17:26:27.139839
08,python,2,0.226229,2026-01-05T17:26:27.366581
09,python,1,0.063264,2026-01-05T17:26:27.505050
09,python,2,0.268132,2026-01-05T17:26:27.773627
10,python,1,0.017606,2026-01-05T17:26:27.889287
10,python,2,0.785102,2026-01-05T17:26:28.674870
11,python,1,0.000735,2026-01-05T17:26:28.759162
11,python,2,0.001960,2026-01-05T17:26:28.761498
12,python,1,0.003355,2026-01-05T17:26:28.839599
12,python,2,0.000001,2026-01-05T17:26:28.839965
01,rust,1,0.000052,2026-01-05T17:26:29.102284262+00:00
01,rust,2,0.000095,2026-01-05T17:26:29.102534528+00:00
02,rust,1,0.004138,2026-01-05T17:26:29.286134211+00:00
02,rust,2,0.021742,2026-01-05T17:26:29.308153010+00:00
03,rust,1,0.000158,2026-01-05T17:26:29.479454381+00:00
03,rust,2,0.000152,2026-01-05T17:26:29.479735601+00:00
01,python,1,0.001759,2026-01-05T17:27:28.439062
01,python,2,0.002466,2026-01-05T17:27:28.442026
02,python,1,0.547181,2026-01-05T17:27:29.077939
02,python,2,1.193723,2026-01-05T17:27:30.272420
03,python,1,0.004449,2026-01-05T17:27:30.367353
03,python,2,0.008370,2026-01-05T17:27:30.376393
04,python,1,0.065215,2026-01-05T17:27:30.526895
04,python,2,0.357467,2026-01-05T17:27:30.884887
05,python,1,0.005117,2026-01-05T17:27:30.973389
05,python,2,0.000453,2026-01-05T17:27:30.974292
06,python,1,0.000923,2026-01-05T17:27:31.058765
06,python,2,0.004509,2026-01-05T17:27:31.063710
07,python,1,0.001180,2026-01-05T17:27:31.145934
07,python,2,0.001629,2026-01-05T17:27:31.148066
08,python,1,0.073778,2026-01-05T17:27:31.372269
